Category,City,Country,Country Abbr,Current Year(Today),Customer,Customer ID,Customer Name,Order Date (DMY),Order Date (MDY),Order ID,Order ID1,Postal Code,Prior Year(Today),Product ID,Product Name,Purple Product,Region,Returned,Row ID,Segment,Sheet,Ship Date (DMY),Ship Date (MDY),Ship Date MDY - String,Ship Mode,Ship Mode (group),State,Sub-Category,Sub-Category (group),Table Name,Average Sales,Discount,Discount (copy),Number of Records,Order Count,Order Count Distinct,Profit,Profit %,Profit % - Row Level,Profit % Full,Profit %- Dynamic Aggregation,Quantity,Quantity Threshold,Sales,Test Set Calculation,Top Tier Color
Furniture,Richardson,United States,,2022,GENE HALE,GH-14485,Gene Hale,12/8/2017,12/8/2017,,CA-2017-117590,75080,2021,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",False,Central,,37,Corporate,Orders,10/12/2017,12/10/2017,2017-12-10,First Class,First Class,Texas,Furnishings,Furnishings,Orders,190.92,0.6,0.6,1,0,0,-147.963,-0.775,-0.775,-77.5,-0.775,5,5,190.92,0,All Other
Technology,Naperville,United States,,2022,LINDA CAZAMIAS,LC-16930,Linda Cazamias,9/10/2018,9/10/2018,,CA-2018-120999,60540,2021,TEC-PH-10004093,Panasonic Kx-TS550,False,Central,,42,Corporate,Orders,15/9/2018,9/15/2018,2018-09-15,Standard Class,Basic,Illinois,Phones,Phones,Orders,147.168,0.2,0.2,1,0,0,16.5564,0.1125,0.1125,11.25,0.1125,4,4,147.168,0,All Other
Office Supplies,Los Angeles,United States,,2022,RUBEN AUSMAN,RA-19885,Ruben Ausman,7/17/2017,7/17/2017,,CA-2017-101343,90049,2021,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",False,West,,43,Corporate,Orders,22/7/2017,7/22/2017,2017-07-22,Standard Class,Basic,California,Storage,Storage,Orders,77.88,0,0,1,0,0,3.894000000,0.050000000,0.050000000,5.000000000,0.050000000,2,2,77.88,0,All Other
Office Supplies,Melbourne,United States,,2022,ERIN SMITH,ES-14080,Erin Smith,9/19/2018,9/19/2018,,CA-2018-139619,32935,2021,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",False,South,,44,Corporate,Orders,23/9/2018,9/23/2018,2018-09-23,Standard Class,Basic,Florida,Storage,Storage,Orders,95.616,0.2,0.2,1,0,0,9.561600000,0.1,0.1,10,0.1,2,2,95.616,0,All Other
Technology,Eagan,United States,,2022,ODELLA NELSON,ON-18715,Odella Nelson,3/11/2017,3/11/2017,,CA-2017-118255,55122,2021,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",False,Central,,45,Corporate,Orders,13/3/2017,3/13/2017,2017-03-13,First Class,First Class,Minnesota,Accessories,Accessories,Orders,45.98,0,0,1,0,0,19.7714,0.43,0.43,43,0.43,2,2,45.98,0,All Other
Office Supplies,Eagan,United States,,2022,ODELLA NELSON,ON-18715,Odella Nelson,3/11/2017,3/11/2017,,CA-2017-118255,55122,2021,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,False,Central,,46,Corporate,Orders,13/3/2017,3/13/2017,2017-03-13,First Class,First Class,Minnesota,Binders,Binders,Orders,17.46,0,0,1,0,0,8.2062,0.47,0.47,47,0.47,2,2,17.46,0,All Other
Technology,Dover,United States,,2022,LENA HERNANDEZ,LH-16900,Lena Hernandez,6/20/2017,6/20/2017,,CA-2017-169194,19901,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,,48,Consumer,Orders,25/6/2017,6/25/2017,2017-06-25,Standard Class,Basic,Delaware,Accessories,Accessories,Orders,45,0,0,1,0,0,4.95,0.11,0.11,11,0.11,3,3,45,0,All Other
Technology,Dover,United States,,2022,LENA HERNANDEZ,LH-16900,Lena Hernandez,6/20/2017,6/20/2017,,CA-2017-169194,19901,2021,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",False,East,,49,Consumer,Orders,25/6/2017,6/25/2017,2017-06-25,Standard Class,Basic,Delaware,Phones,Phones,Orders,21.8,0,0,1,0,0,6.104,0.28,0.28,28,0.28,2,2,21.8,0,All Other
Office Supplies,New York City,United States,,2022,JANET MOLINARI,JM-15265,Janet Molinari,12/11/2017,12/11/2017,,CA-2017-105816,10024,2021,OFF-FA-10000304,Advantus Push Pins,False,East,,54,Corporate,Orders,17/12/2017,12/17/2017,2017-12-17,Standard Class,Basic,New York,Fasteners,Fasteners,Orders,15.26,0,0,1,0,0,6.2566,0.41,0.41,41,0.41,7,7,15.26,0,All Other
Technology,New York City,United States,,2022,JANET MOLINARI,JM-15265,Janet Molinari,12/11/2017,12/11/2017,,CA-2017-105816,10024,2021,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,False,East,,55,Corporate,Orders,17/12/2017,12/17/2017,2017-12-17,Standard Class,Basic,New York,Phones,Phones,Orders,1029.95,0,0,1,0,0,298.6855,0.29,0.29,29,0.29,5,5,1029.95,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-ST-10000604,Home/Office Personal File Carts,False,East,Yes,56,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Storage,Storage,Orders,208.56,0,0,1,1,1,52.14,0.25,0.25,25,0.25,6,6,208.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10001569,Xerox 232,False,East,Yes,57,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,32.4,0,0,1,1,1,15.552,0.48,0.48,48,0.48,5,5,32.4,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Furniture,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,FUR-CH-10003968,Novimex Turbo Task Chair,False,East,Yes,58,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Chairs,Chairs,Orders,319.41,0.1,0.1,1,1,1,7.098000000,0.022222222,0.022222222,2.222222222,0.022222222,5,5,319.41,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",False,East,Yes,59,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Paper,Labels & Paper,Orders,14.56,0,0,1,1,1,6.9888,0.48,0.48,48,0.48,2,2,14.56,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Technology,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,East,Yes,60,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Accessories,Accessories,Orders,30,0,0,1,1,1,3.3,0.11,0.11,11,0.11,2,2,30,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-BI-10001460,Plastic Binding Combs,False,East,Yes,61,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Binders,Binders,Orders,48.48,0.2,0.2,1,1,1,16.362,0.3375,0.3375,33.75,0.3375,4,4,48.48,0,All Other
Office Supplies,Troy,United States,CA,2022,TED BUTTERFIELD,TB-21055,Ted Butterfield,6/17/2017,6/17/2017,CA-2017-111682,CA-2017-111682,12180,2021,OFF-BI-10001460,Plastic Binding Combs,False,East,Yes,61,Consumer,Orders,18/6/2017,6/18/2017,2017-06-18,First Class,First Class,New York,Binders,Binders,Orders,48.48,0.2,0.2,1,1,1,16.362,0.3375,0.3375,33.75,0.3375,4,4,48.48,0,All Other
